path,kind,size_bytes,ext,approx_LOC,exports_count,imports_count,hasTests,eslintErrors,notes
.actrc,file,673,none,30,,,,,
.codecov.yml,file,330,.yml,22,,,,,
.dockerignore,file,179,none,15,,,,,
.eslintignore,file,49,none,6,,,,,
.eslintrc.js,file,6978,.js,242,1,,,,
.eslintrc.json,file,433,.json,28,,,,,
.github\act-events\push.json,file,1121,.json,44,,,,,
.github\act-events\workflow_dispatch.json,file,656,.json,29,,,,,
.github\actions-lockfile.md,file,3920,.md,58,,,,,
.github\dependabot.yml,file,2174,.yml,82,,,,,
.github\PROJECT_ROADMAP.md,file,3848,.md,103,,,,,
.github\PULL_REQUEST_TEMPLATE.md,file,327,.md,9,,,,,
.github\release-template.md,file,462,.md,21,,,,,
.github\SECURITY_ACTIONS.md,file,6557,.md,131,,,,,
.github\workflows\auto-release-note.yml,file,2148,.yml,74,,,,,
.github\workflows\blog-release.yml,file,11489,.yml,276,,,,,
.github\workflows\ci.yml,file,9406,.yml,287,,,,,
.github\workflows\comprehensive-testing.yml,file,16196,.yml,509,,,true,,
.github\workflows\contract-validation.yml,file,19371,.yml,507,,,true,,
.github\workflows\deploy-production.yml,file,12864,.yml,403,,,,,
.github\workflows\docs-ci.yml,file,1070,.yml,47,,,,,
.github\workflows\docs-deploy.yml,file,1509,.yml,60,,,,,
.github\workflows\enforce-release-review.yml,file,1406,.yml,50,,,,,
.github\workflows\post-release-generate-blog.yml,file,2397,.yml,79,,,,,
.github\workflows\publish-release-blog.yml,file,1503,.yml,48,,,,,
.github\workflows\release-protection.yml,file,11616,.yml,326,,,true,,
.github\workflows\release-sync.yml,file,1327,.yml,51,,,,,
.github\workflows\roadmap-label-sync.yml,file,757,.yml,36,,,,,
.github\workflows\roadmap-labels.yml,file,2544,.yml,68,,,true,,
.github\workflows\roadmap-maintenance.yml,file,6049,.yml,159,,,true,,
.github\workflows\roadmap-sync.yml,file,1086,.yml,45,,,,,
.github\workflows\security-audit.yml,file,10497,.yml,276,,,true,,
.github\workflows\sync-roadmap.yml,file,1691,.yml,63,,,,,
.github\workflows\verify-blog-badge.yml,file,1744,.yml,51,,,,,
.gitignore,file,2305,none,142,,,,,
.husky\pre-commit,file,137,none,5,,,,,
.husky\_\.gitignore,file,1,none,1,,,,,
.husky\_\husky.sh,file,717,.sh,,,,,,
.npmrc,file,75,none,2,,,,,
.secrets,file,820,none,28,,,,,
analyze-test-failures.js,file,6280,.js,174,,3,true,,
apply-systematic-fixes.js,file,9505,.js,302,2,3,true,,
